"instruction","input","output"
"Đề xuất phần tóm lược cho bìa sách Lãng mạn lịch sử","Kết hợp phong cách hoài cổ với sắc màu ấm áp.","Một hội trường nguy nga với những chùm đèn pha lê lấp lánh, ánh sáng phản chiếu trên sàn gỗ bóng loáng, trong khi ngoài cửa sổ, bầu trời u ám báo hiệu chiến tranh đang đến gần."
"Soạn lời quảng bá bìa sách Khoa học phổ thông","Vận dụng thiết kế hiện đại, hướng đến xu hướng tối giản.","Một biểu đồ DNA phát sáng trên nền tối, đại diện cho sự phát triển không ngừng của công nghệ sinh học"
"Soạn nội dung mô tả ngắn cho bìa sách Viễn tưởng du hành thời gian","","Một cánh cửa ánh sáng trôi nổi giữa khoảng không, phía sau là những vòng xoáy thời gian mờ ảo, nơi quá khứ và tương lai giao thoa."
"Tạo nội dung thu hút cho bìa sách Truyện thiếu nhi","Màu pastel nhẹ nhàng, phong cách đáng yêu.","Những đám mây bồng bềnh lơ lửng trên bầu trời đầy bong bóng màu sắc, tạo nên một thế giới kỳ diệu đầy ấm áp."
"Chỉnh sửa đoạn mô tả bìa sách Tâm lý học ứng dụng","Sắc thái trầm, thiết kế hiện đại.","Một con đường dài vô tận bị bao phủ bởi màn sương mờ, hai bên là những hàng cây trụi lá, ánh đèn đường yếu ớt xuyên qua bóng tối."
"Thiết kế nội dung văn bản trên bìa sách Trinh thám siêu nhiên","Gam màu tối, cảm hứng huyền bí.","Một cánh cửa bí ẩn phát sáng giữa một con hẻm tối tăm, trên bề mặt cánh cửa khắc những biểu tượng kỳ lạ phát ra ánh sáng mờ ảo."
"Viết mô tả ngắn gọn cho bìa sách Du ký khám phá","Phong cách hội họa, màu sắc tươi tắn.","Những cồn cát trải dài đến tận chân trời, ánh mặt trời rực rỡ chiếu xuống thành phố cổ đang chìm trong màn sương buổi sớm."
"Viết phần giới thiệu bìa sách Kinh dị tâm lý","Màu sắc u ám, phong cách surreal.","Một tấm gương cũ kỹ treo giữa hành lang tối tăm, trong gương phản chiếu một căn phòng trống rỗng không tồn tại trong thực tế."
"Đề xuất thông tin chính trên bìa sách Phiêu lưu cổ đại","Tông màu đất, nghệ thuật tranh vẽ.","Lối vào một kim tự tháp cổ đại bị vùi lấp dưới lớp cát vàng, những ký tự chạm khắc trên đá mờ nhạt theo năm tháng."
"Viết phần mô tả bìa sách Trinh thám hiện đại","","Một con đường ướt mưa phản chiếu ánh đèn neon từ những biển hiệu quán bar, không gian mang vẻ bí ẩn của một đêm khuya thành phố."
"Soạn thảo nội dung bìa sách Tâm lý học","Sắc thái trung tính, thiết kế tối giản.","Một mặt hồ yên tĩnh phản chiếu bầu trời xám, những gợn sóng nhẹ lan tỏa từ một điểm vô hình, tạo cảm giác sâu lắng."
"Đề xuất văn bản mô tả bìa sách Hành động viễn tưởng","Màu neon rực rỡ, phong cách cyberpunk.","Một đô thị rực sáng với những tòa nhà cao tầng bao phủ bởi màn sương mỏng, bảng hiệu neon nhấp nháy trên từng con phố đan xen."
"Xây dựng phần giới thiệu trên bìa sách Khoa học thần bí","","Một vòng tròn phép thuật phát sáng trên nền đá cổ, ánh sáng lập lòe tạo nên những ký tự bí ẩn lơ lửng trong không trung."
"Soạn nội dung tóm lược bìa sách Du ký viễn tưởng","Sắc pastel nhẹ nhàng, phong cách hội họa.","Những hòn đảo trôi nổi giữa tầng mây bồng bềnh, ánh hoàng hôn nhuộm vàng cả bầu trời bao la."
"Thiết kế phần mô tả cho bìa sách Hành động chiến tranh","Gam màu xám thép, thiết kế chân thực.","Những tòa nhà đổ nát nằm giữa chiến trường hoang tàn, làn khói mỏng vương trên nền trời xám xịt."
"Chỉnh sửa phần giới thiệu bìa sách Tình cảm gia đình","","Mặt biển lấp lánh ánh hoàng hôn, những con sóng nhỏ xô vào bờ cát mịn, mang theo dư âm của những ký ức xưa cũ."
"Viết nội dung tóm tắt trên bìa sách Truyện thần thoại","Sắc vàng đồng, cảm hứng sử thi.","Một ngôi đền cổ Hy Lạp sừng sững trên đỉnh đồi, ánh mặt trời chiếu xuống những bức tượng thần với đường nét hùng vĩ."
"Soạn lời giới thiệu trên bìa sách Hồi ký","Gam màu pastel, nghệ thuật hội họa.","Một chiếc bàn gỗ cũ bên khung cửa sổ, trên bàn là một quyển sổ tay mở ra, những trang giấy úa vàng lưu giữ những câu chuyện của thời gian."
"Biên soạn mô tả bìa sách Tâm linh huyền bí","","Một cánh cửa phát sáng đứng giữa khoảng không vô tận, phía sau là vùng tối mịt mù như dẫn lối đến thế giới khác."
"Xây dựng phần mô tả bìa sách Du ký phiêu lưu","Cam rực rỡ, vẻ đẹp hoang sơ.","Những vách núi hiểm trở cheo leo bên rừng rậm xanh ngút ngàn, dòng sông uốn lượn dưới thung lũng sâu."
"Biên tập mô tả bìa sách Lãng mạn tuổi trẻ","Hồng phấn nhẹ, phong cách tân thời.","Một bầu trời chạng vạng rực rỡ sắc hồng, những mái nhà cao tầng thấp thoáng giữa làn sương chiều dịu nhẹ."
"Phác thảo nội dung bìa sách Hành động siêu anh hùng","","Bầu trời thành phố về đêm với ánh đèn chớp nháy, một tòa nhà chọc trời sừng sững giữa màn sương mờ."
"Lên ý tưởng phần giới thiệu bìa sách Kinh dị siêu nhiên","Màu đen sâu thẳm, vẻ đẹp gothic.","Một căn nhà gỗ cũ nát giữa khu rừng rậm, những ô cửa sổ mở toang nhìn ra bóng tối vô tận."
"Viết đoạn mô tả bìa sách Triết học","Sắc xám bạc, cảm hứng nghệ thuật trừu tượng.","Một bức tượng đá bị nứt vỡ giữa quảng trường hoang vắng, ánh sáng xuyên qua các khe nứt, tạo hiệu ứng huyền bí."
"Tổng hợp nội dung giới thiệu bìa sách Hành động quân sự","Xanh rêu tự nhiên, phong cách chân thực.","Một khu rừng rậm rạp bao quanh một trạm radar ẩn mình giữa thiên nhiên, những tia sáng mặt trời xuyên qua tán lá dày đặc."
"Điều chỉnh phần tóm lược bìa sách Kinh dị tâm linh","Gam màu u tối, không khí huyền bí.","Một chiếc đồng hồ bỏ túi bị vỡ nằm trên nền đá lạnh, kim đồng hồ chỉ một giờ cố định, phản chiếu ánh sáng yếu ớt."
"Xây dựng lời mở đầu trên bìa sách Tiểu thuyết giả tưởng","Tím mộng mị, nét vẽ nghệ thuật.","Một lâu đài lơ lửng trên những tầng mây tím, cầu thang xoắn ốc dẫn lên cánh cổng ánh sáng phía trên."
"Viết bài mô tả bìa sách Trinh thám cổ điển","","Một chiếc bàn gỗ phủ đầy tài liệu cũ, ánh sáng đèn bàn hắt lên từng trang giấy đã ngả vàng theo thời gian."
"Sáng tác nội dung phần bìa sách Khoa học vật lý","Màu xanh ánh kim, phong cách hiện đại.","Một cỗ máy va chạm hạt đang phát ra những vòng xoáy năng lượng lấp lánh, tạo hiệu ứng không gian kỳ ảo."
"Định hình nội dung bìa sách Truyện cổ tích","Sắc pastel nhẹ nhàng, vẻ đẹp huyền ảo.","Một ngôi nhà hình nấm nhỏ bé với ống khói uốn lượn, cửa sổ tròn phát sáng giữa khu rừng huyền diệu."
"Viết phần mở đầu trên bìa sách Hài hước","","Một con đường lát đá với bóng của những cột đèn kéo dài kỳ quặc dưới ánh hoàng hôn."
"Dựng phần giới thiệu bìa sách Trinh thám tương lai","Tông màu xanh neon, phong cách cyberpunk","Một con hẻm nhỏ phủ đầy ánh đèn neon, các biển quảng cáo nhấp nháy phản chiếu trên mặt đường ướt"
"Chỉnh sửa nội dung tóm tắt bìa sách Kinh dị sinh tồn","Tông màu xanh xám, phong cách rùng rợn","Một hành lang bệnh viện bỏ hoang với ánh sáng le lói qua cửa kính nứt vỡ, bóng tối bao trùm hai bên."
"Viết lời giới thiệu hấp dẫn trên bìa sách Khoa học thiên văn","","Một vùng không gian bao la với một hố đen khổng lồ, ánh sáng từ các ngôi sao bị hút vào trung tâm."
"Soạn phần giới thiệu bìa sách Nghệ thuật đường phố","Neon sặc sỡ, phong cách graffiti","Một bức tường gạch cũ phủ đầy hình vẽ phun sơn rực rỡ, phản chiếu ánh đèn đường ban đêm."
"Xây dựng nội dung tóm lược bìa sách Thể thao","","Một sân vận động rộng lớn với vạch đích nổi bật trên mặt đường, ánh sáng rực rỡ từ khán đài."
"Điều chỉnh nội dung tóm lược bìa sách Tâm lý học trẻ em","Dùng màu pastel dịu nhẹ, phong cách minh họa đơn giản","Một công viên nhỏ với những con diều bay lơ lửng trên nền trời xanh, ghế đá xếp dọc lối đi."
"Tạo mô tả bìa sách Viễn tưởng sinh học","Tô màu xanh lam, phong cách công nghệ cao","Một phòng thí nghiệm hiện đại với các ống nghiệm phát sáng, màn hình hiển thị thông số phức tạp."
"Đề xuất văn bản bìa sách Văn hóa ẩm thực","","Một bàn tiệc phong phú với các món ăn truyền thống từ khắp nơi trên thế giới."
"Biên soạn phần giới thiệu bìa sách Thám hiểm đại dương","Tông màu xanh biển, phong cách chân thực","Một con tàu đắm phủ đầy san hô dưới làn nước trong xanh, tia nắng xuyên qua từ mặt biển."
"Soạn thảo nội dung bìa sách Tài chính và đầu tư","","Một biểu đồ tài chính tăng trưởng mạnh mẽ với đồng tiền vàng rơi xuống như mưa."
"Viết phần mô tả bìa sách Kinh doanh khởi nghiệp","Dùng tông xám bạc, tạo phong cách hiện đại.","Một con đường trải dài đến chân trời, ánh bình minh ló dạng sau những dãy núi xa."
"Xây dựng phần giới thiệu bìa sách Hướng dẫn thiền định","Kết hợp trắng xanh, mang đến cảm giác thư giãn.","Một khu rừng sương mờ với ánh sáng bình minh len qua những tán lá, không gian yên tĩnh."
"Đề xuất nội dung tóm tắt bìa sách Du lịch khám phá","","Một chiếc xe tải cũ đậu trên con đường hoang vắng, phía xa là hoàng hôn trải dài trên sa mạc."
"Thiết kế phần giới thiệu bìa sách Văn học cổ điển","Sử dụng nâu trầm, thể hiện phong cách tranh sơn dầu.","Một ngôi nhà gỗ nhỏ bên cạnh dòng sông yên ả, tỏa ra ánh sáng ấm áp từ cửa sổ."
"Soạn nội dung mô tả bìa sách Khoa học hành vi","","Một mê cung gương phản chiếu vô số hình ảnh méo mó, lối đi dường như vô tận."
"Chỉnh sửa phần tóm lược bìa sách Truyện hài hước","","Một con đường nhỏ lát đá với những bảng hiệu cũ kỹ treo xiêu vẹo, ánh sáng vàng nhấp nháy từ quán ven đường."
"Viết lời giới thiệu bìa sách Nghệ thuật nhiếp ảnh","Sắc đen trắng, hơi hướng cổ điển.","Một con phố cổ vắng vẻ với ánh sáng mờ ảo hắt qua cửa sổ kính, bóng đổ dài trên nền gạch."
"Sáng tạo nội dung mô tả bìa sách Khoa học vũ trụ","Tím pha xanh, phong cách viễn tưởng.","Một cánh cổng không gian mở ra giữa vũ trụ, dẫn đến một thiên hà hoàn toàn xa lạ."
"Đề xuất phần tóm lược cho bìa sách Kỹ năng sống","Xanh lá nhẹ nhàng, thiết kế tối giản.","Một cái cây mọc lên từ quyển sách mở, thể hiện sự phát triển và tri thức."
"Biên soạn nội dung dễ hiểu cho bìa sách Hồi ký nhà thám hiểm","","Một chiếc la bàn cổ đặt trên bản đồ thế giới đã cũ, bên cạnh là một cuốn nhật ký đầy ghi chép."
"Viết phần mô tả thuyết phục trên bìa sách Nghiên cứu văn hóa","Sắc vàng nhạt, cảm hứng tranh thủy mặc.","Một khu vườn truyền thống với bàn trà gỗ đơn sơ, gió nhẹ lay động những bức rèm giấy."
"Chỉnh sửa đoạn văn ngắn trên bìa sách Tâm linh phương Đông","","Một ngôi chùa cổ trên đỉnh núi, sương sớm phủ kín các bậc thang đá dẫn lên cửa chính."
"Gợi ý cách trình bày nội dung bìa sách Hành trình khám phá bản thân","Hồng phấn dịu dàng, phong cách tinh tế.","Một con đường nhỏ trải dài giữa cánh đồng hoa, ánh nắng nhẹ nhàng chiếu xuống."
"Thiết kế bố cục văn bản bìa sách Âm nhạc cổ điển","Vàng kim sang trọng, hơi hướng baroque.","Một sân khấu cổ điển với bức màn nhung đỏ, ánh sáng mờ phản chiếu trên sàn gỗ bóng loáng."
"Viết phần tóm tắt chuyên nghiệp trên bìa sách Hướng dẫn sống xanh","","Một khu rừng nhiệt đới tươi tốt, ánh nắng xuyên qua những tán lá, tạo cảm giác hòa mình vào thiên nhiên."
"Điều chỉnh nội dung tiếp thị trên bìa sách Chính trị thế giới","Tông màu xanh đậm, phong cách nghiêm túc","Một quả địa cầu với các dòng chữ viết tay mô tả những cuộc cách mạng và thay đổi lịch sử."
"Tạo điểm nhấn nội dung trên bìa sách Kiến trúc hiện đại","","Một tòa nhà kính phản chiếu bầu trời, với đường nét kiến trúc sắc sảo và tinh tế."
"Sáng tác nội dung bắt mắt trên bìa sách Thế giới động vật","Sắc xanh dương, cảm giác chân thực.","Một khu rừng nguyên sinh với những bóng cây khổng lồ và dòng suối nhỏ chảy qua."
"Xây dựng câu chữ tinh tế trên bìa sách Tình yêu tuổi già","Xanh dương sâu thẳm, phong cách hiện thực.","Một công viên yên tĩnh với hàng ghế đá cổ kính, lá vàng rơi rải rác trên mặt đường"
"Viết phần giới thiệu phù hợp trên bìa sách Thế giới cổ đại","Tông xanh biển, vẻ đẹp chân thực.","Một khu phế tích Hy Lạp cổ đại với những cột đá đổ nát, dây leo quấn quanh những bức tượng cũ."
"Chỉnh sửa nội dung tiếp cận người đọc trên bìa sách Giải mã giấc mơ","Màu xanh nước biển, phong cách thực tế.","Một căn phòng với những cánh cửa lơ lửng trong không gian, mỗi cánh cửa mở ra một cảnh sắc khác nhau."
"Gợi ý cách trình bày nội dung bìa sách hợp lý Hành trình khai phá vũ trụ","Xanh lam trung tính, thiết kế hiện thực.","Một con tàu vũ trụ bay qua vành đai thiên thạch, phía xa là một hành tinh lạ với ánh sáng kỳ ảo."
"Viết đoạn quảng cáo thu hút trên bìa sách Hội họa trừu tượng","","Những hình khối và đường nét đan xen tạo thành một bức tranh vô tận, màu sắc hoà quyện lẫn nhau."
"Sắp xếp nội dung bìa sách sao cho chuyên nghiệp Văn hóa người du mục","Tông màu vàng đất, phong cách tự nhiên","Một con đường cát mịn kéo dài đến chân trời, dấu chân lữ hành hằn in trên nền cát."
"Viết phần giới thiệu lôi cuốn trên bìa sách Bí mật toán học","Tông màu xanh lá nhạt, phong cách khoa học","Một bảng đen phủ đầy công thức, chính giữa là hình Fractal tỏa sáng huyền bí."
"Tóm lược nội dung hấp dẫn trên bìa sách Những phát minh vĩ đại","","Một bàn làm việc ngổn ngang bản vẽ và mô hình thử nghiệm, ánh sáng từ cửa sổ chiếu xuống."
"Biên soạn câu chữ marketing trên bìa sách Ký sự đại dương","Sử dụng sắc xanh dương thẳm, tạo cảm giác chân thực.","Một hang động dưới nước với ánh sáng phản chiếu từ mặt biển, rặng san hô phát sáng bao quanh."
"Viết mô tả thu hút khách hàng trên bìa sách Phát triển bản thân qua nghệ thuật","Kết hợp gam pastel dịu nhẹ, mang phong cách vẽ tay.","Một bức tranh đang hoàn thiện, màu sắc dần lan tỏa từ khung vẽ ra không gian xung quanh."
"Điều chỉnh nội dung quảng bá trên bìa sách Lập trình và trí tuệ nhân tạo","Áp dụng xanh lam đậm, gợi hơi hướng công nghệ cao.","Một mạng lưới số hóa phát sáng bao trùm thành phố, dữ liệu chạy dọc những tòa nhà hiện đại."
"Tạo phần giới thiệu thuyết phục trên bìa sách Nghệ thuật viết lách sáng tạo","Dùng xanh dương pha vàng, thể hiện thiết kế hiện đại.","Những trang giấy mở ra, ánh sáng tỏa ra từ giữa, tạo cảm giác tri thức bùng nổ."
"Chỉnh sửa nội dung cho bìa sách Phương pháp học tập hiệu quả","Tận dụng cam rực rỡ, hướng đến phong cách tối giản.","Một chiếc đồng hồ cát với cát chảy xuống tạo thành những dòng chữ lấp lánh trên mặt bàn."
"Viết lời mời gọi đọc sách trên bìa Lịch sử đế chế La Mã","Phối vàng kim và đỏ, khơi gợi cảm hứng cổ đại.","Những cột đá cẩm thạch sừng sững giữa ánh hoàng hôn, phản chiếu trên nền trời đỏ rực."
"Soạn văn bản tiếp thị ngắn gọn trên bìa sách Khoa học về thời gian","Kết hợp bạc và xanh lục, tạo nét viễn tưởng.","Một mặt đồng hồ nổi giữa không gian, các con số mờ dần vào hư vô."
"Biên soạn đoạn giới thiệu ngắn trên bìa sách Trí nhớ siêu việt","Vận dụng xanh ngọc nổi bật, bắt kịp xu hướng công nghệ cao.","Một mạng lưới ánh sáng kết nối hàng ngàn điểm dữ liệu giữa nền trời đêm."
"Xây dựng phong cách ngôn ngữ cho bìa sách Chuyện tình mùa đông","","Một cây cổ thụ phủ đầy tuyết đứng giữa cánh đồng trắng xóa, ánh đèn vàng hắt lên từ phía xa."
"Gợi ý nội dung quảng bá trên bìa sách Văn hóa dân gian Việt Nam","Màu nâu gỗ ấm áp, hơi hướng truyền thống.","Một tấm chiếu cói trải ra trên nền đất, xung quanh là sách cổ và bức tranh Đông Hồ."
"Viết nội dung thu hút độc giả trên bìa sách Tư duy chiến lược","Sắc xám bạc, vẻ đẹp chuyên nghiệp.","Một bàn cờ vua được chiếu sáng từ phía trên, bóng các quân cờ trải dài đầy ẩn ý."
"Soạn lời quảng cáo hấp dẫn trên bìa sách Hành trình tìm kiếm hạnh phúc","Vàng cam rực rỡ, tinh thần lạc quan.","Một con đường nhỏ uốn lượn qua những ngọn đồi dưới ánh bình minh ấm áp."
"Chỉnh sửa nội dung chính trên bìa sách Nghệ thuật pha chế đồ uống","Xanh ngọc bích, cảm hứng ẩm thực.","Một ly cocktail đặt trên mặt bàn gỗ, hơi nước bốc lên phản chiếu ánh sáng lung linh."
"Sáng tác nội dung mô tả chuyên nghiệp trên bìa sách Vũ khí thời trung cổ","Xám thép mạnh mẽ, phong cách lịch sử.","Một thanh kiếm cắm xuống nền đá, ánh sáng chiếu vào làm nổi bật lưỡi thép lạnh lùng."
"Viết đoạn giới thiệu ngắn trên bìa sách Địa lý kỳ thú","","Một quả địa cầu nứt đôi, để lộ ra những tầng địa chất kỳ lạ bên trong."
"Sáng tạo nội dung lôi cuốn trên bìa sách Truyện kỳ ảo thần tiên","Tông màu xanh dương sáng","Một tòa tháp cổ bị bao phủ bởi những đám mây xoáy tròn, ánh sáng xanh rực rỡ tỏa ra từ đỉnh tháp."
"Cập nhật nội dung mới cho bìa sách Cuộc sống sau tận thế","Tông màu xám tro, phong cách hậu tận thế","Một thành phố hoang tàn chìm trong màn sương mờ, những tòa nhà đổ nát hiện lên mờ ảo."
"Đề xuất thông điệp chính trên bìa sách Tiểu thuyết phiêu lưu viễn tưởng về một chiến binh du hành qua các chiều không gian","Phong cách cyberpunk, ánh sáng neon.","Một thành phố lơ lửng trên không, những cánh cổng dịch chuyển phát sáng nằm rải rác khắp nơi."
"Biên soạn phần quảng bá cho bìa sách Truyện trinh thám ly kỳ lấy bối cảnh thập niên 1920","","Một con phố lát đá ướt mưa với ánh đèn đường mờ ảo hắt xuống vỉa hè."
"Chỉnh sửa câu từ trên bìa sách Tiểu thuyết khoa học viễn tưởng về sự nổi dậy của trí tuệ nhân tạo","","Một màn hình khổng lồ phủ đầy những dòng mã chạy liên tục giữa một thành phố công nghệ cao."
"Viết đoạn giới thiệu sáng tạo trên bìa sách Tiểu thuyết thần thoại về cuộc chiến giữa các vị thần cổ đại","","Những tia sét xé toạc bầu trời, một ngọn núi lửa phun trào giữa cơn bão cuồng nộ."
"Xây dựng thông tin tiếp thị trên bìa sách Câu chuyện kinh dị lấy cảm hứng từ truyền thuyết dân gian","Không gian u ám, yếu tố siêu nhiên.","Một căn nhà gỗ bỏ hoang giữa rừng, ánh trăng bị che khuất bởi những đám mây đen dày đặc."
"Tóm lược nội dung cuốn hút trên bìa sách Tiểu thuyết lãng mạn lấy bối cảnh châu Âu thế kỷ 19","","Một lâu đài cổ nằm trên vách núi, ánh hoàng hôn phản chiếu trên những khung cửa sổ."
"Gợi ý văn bản hấp dẫn trên bìa sách Tiểu thuyết phiêu lưu viễn tưởng về một phi công không gian bị lạc trong thiên hà xa lạ","Phong cách không gian, gam màu tối.","Con tàu vũ trụ bị hư hại trôi nổi giữa các ngôi sao lấp lánh, phía xa là một hành tinh kỳ lạ với hai mặt trăng."
"Viết mô tả mang tính thuyết phục trên bìa sách Truyện trinh thám về một thám tử điều tra vụ án mạng trong một khách sạn cổ","Gam màu tối, không khí bí ẩn.","Hành lang dài tối tăm với ánh đèn chập chờn, một cánh cửa hé mở để lộ vũng máu đọng trên sàn gỗ cũ kỹ."
"Tạo nội dung truyền cảm hứng trên bìa sách Tiểu thuyết khoa học viễn tưởng về một thành phố ngầm dưới lòng đất","Phong cách tối giản, gam màu xám.","Một lối vào hang động rộng lớn, ánh sáng nhân tạo phát ra từ những tòa nhà kỳ lạ nằm sâu bên trong lòng đất."
"Điều chỉnh phần thông tin trên bìa sách Tiểu thuyết thần thoại về cuộc chiến giữa các vị thần biển và thần đất","","Sóng biển khổng lồ đập vào vách đá, những cột nước trắng xóa bốc lên giữa cơn bão dữ dội."
"Giới thiệu bìa sách cho truyện kinh dị về một ngôi làng bị ám bởi linh hồn của những người mất tích.","","Những ngôi nhà hoang phủ đầy dây leo, cửa sổ vỡ toang, ánh trăng lạnh lẽo chiếu xuống con đường đá sỏi phủ đầy sương mù."
"Tóm tắt bìa sách cho tiểu thuyết lãng mạn về mối tình giữa một họa sĩ và một nhà văn tại Paris.","Phong cách cổ điển, màu sắc ấm áp.","Một quán cà phê nhỏ bên góc phố, ánh đèn vàng hắt lên cửa kính, bên ngoài là tháp Eiffel lung linh trong màn đêm."
"Mô tả nội dung bìa sách cho truyện giả tưởng về một cô bé vô tình tìm thấy cánh cổng bước vào thế giới phép thuật.","","Cánh cổng gỗ cổ kính đứng giữa khu rừng rậm rạp, ánh sáng vàng rực rỡ phát ra từ khe hở giữa hai cánh cửa."
"Lời giới thiệu bìa sách cho truyện hành động kể về một cựu đặc vụ bị truy đuổi vì nắm giữ quá nhiều bí mật.","Phong cách hiện đại, gam màu tối.","Một sân thượng cao với tường gạch cũ kỹ, xung quanh là trực thăng lơ lửng và ánh đèn từ những tòa nhà chọc trời."
"Phác họa bìa sách cho truyện hồi hộp xoay quanh một nhóm bạn vô tình khám phá bí mật kinh hoàng trong kỳ nghỉ.","Không gian u ám, yếu tố bí ẩn.","Một chiếc vali mở hé nằm trên bàn gỗ cũ, bên trong là những bức ảnh ố vàng và một con dao phủ đầy bụi."
"Thông tin bìa sách cho tiểu thuyết lịch sử tái hiện cuộc đời của một nhà cách mạng vào thế kỷ 18.","","Lá cờ rách tả tơi tung bay trên nền trời đỏ rực, phía xa là những công trình đổ nát giữa khói lửa chiến tranh."
"Giới thiệu tổng quan bìa sách cho tiểu thuyết viễn tưởng về một thế giới nơi con người sinh sống trên các thành phố nổi giữa đại dương.","","Một thành phố nổi khổng lồ với những tòa nhà chọc trời bằng kim loại sáng bóng, phản chiếu ánh mặt trời xuống mặt biển mênh mông."
"Tóm tắt nội dung bìa sách cho truyện trinh thám về một thám tử tư điều tra vụ đánh cắp bí ẩn tại viện bảo tàng.","","Một phòng trưng bày tối tăm, ánh sáng chiếu vào một chiếc tủ kính vỡ với những mảnh thủy tinh vương vãi trên nền gạch lạnh."
